asanas,
Shvanasana,
Vrikshasana,
Dhanurasana,
Anantasana,
Anjaneyasana,
Chandrasana,
Namaskara,
Astavakrasana,
Konasana,
Kakasana,
Balasana,
Ankushasana,
Bharadvajasana,
Bhekasana,
Bhujangasana,
Bhujapidasana,
Bidalasana,
Chaturanga,
Dandasana,
Dhanurasana,
Durvasasana,
Shirshasana,
Matsyendrasana,
Marichyasana,
Matsyendrasana,
Shvanasana,
Shvanasana,
Chamatkarasana,
Dhanurasana,
Bakasana,
Hastasana,
Muktyasana,
Padmasana,
Dandasana,
Bandhasana,
Sarvangasana,
Mayurasana,
Gomukhasana,